order_size,slippage,slippage_std,sample_count
1,0.05430000000000007,0.04151481171626265,50
2,0.05430000000000007,0.04151481171626265,50
3,0.05429999999999964,0.041514811716262826,50
4,0.054450000000000075,0.041769807717233966,50
5,0.05517999999999987,0.041937120082526855,50
6,0.055666666666666205,0.04221879088575222,50
7,0.05601428571428627,0.04250170636258972,50
8,0.05627500000000026,0.04275768966525472,50
9,0.05647777777777776,0.04298227030526223,50
10,0.05663999999999973,0.043177734246875744,50
11,0.057099999999999936,0.043390608407340346,50
12,0.05749999999999929,0.04358573795736392,50
13,0.05783846153846113,0.04377351456331824,50
14,0.05812857142857169,0.043950790796774164,50
15,0.05837999999999979,0.044116471797959834,50
16,0.058599999999999854,0.04427051150343194,50
17,0.058794117647059066,0.0444133845295823,50
18,0.05896666666666661,0.04454580420432023,50
19,0.05914210526315799,0.04466202785849063,50
20,0.05929999999999978,0.044770389266813364,50
21,0.05944285714285769,0.04487147770886771,50
22,0.05957272727272752,0.04496587131818519,50
23,0.05969130434782613,0.045054118960162155,50
24,0.05979999999999919,0.04513673167704191,50
25,0.05990000000000009,0.04521417964329732,50
26,0.05999230769230749,0.045286892235841196,50
27,0.06031481481481478,0.04570444439556507,50
28,0.06061428571428607,0.04614349799625395,50
29,0.0608931034482751,0.046595448097912835,50
30,0.06115333333333368,0.04705374984153437,50
31,0.061396774193548394,0.047513449499797286,50
32,0.06162500000000008,0.047970822139981016,50
33,0.06183939393939383,0.048423091950391586,50
34,0.062041176470588086,0.04886821636237542,50
35,0.062231428571428465,0.049304719283318116,50
36,0.06241111111111095,0.04973156210180206,50
37,0.06258108108108146,0.05014804375142277,50
38,0.06274210526315742,0.05055372315423873,50
39,0.06289487179487153,0.0509483589288498,50
40,0.0630400000000006,0.05133186244469107,50
41,0.06317804878048676,0.05170426121730595,50
42,0.06330952380952481,0.052065670335533464,50
43,0.0634348837209312,0.0524162701425632,50
44,0.06355454545454506,0.052756288798193475,50
45,0.06366888888888894,0.053085988659793866,50
46,0.06377826086956503,0.053405655657155195,50
47,0.06388297872340316,0.053715591019224775,50
48,0.06398333333333199,0.054016104851546065,50
49,0.06407959183673498,0.05430751117207243,50
50,0.06417200000000037,0.054590124097492476,50
51,0.06426078431372502,0.05486425493781922,50
52,0.06434615384615312,0.05513021000820544,50
53,0.06444339622641436,0.055378817204697395,50
54,0.06453703703703653,0.05562042383215892,50
55,0.06462727272727292,0.05585526694054136,50
56,0.06471428571428589,0.0560835788399199,50
57,0.06479824561403519,0.056305586280251195,50
58,0.0648827586206896,0.05652539722923285,50
59,0.06496440677966106,0.0567391841403619,50
60,0.06504333333333336,0.05694716302342996,50
61,0.06515573770491784,0.05718865800404091,50
62,0.06526451612903258,0.05742418816710279,50
63,0.06539523809523815,0.057682541041942544,50
64,0.06555625000000007,0.05795008414894547,50
65,0.06571230769230808,0.05821188080849471,50
66,0.06586363636363572,0.05846804955144669,50
67,0.06601044776119394,0.05871871229157416,50
68,0.06615294117647082,0.05896399315879915,50
69,0.06629130434782582,0.059204017526406506,50
70,0.0664257142857143,0.05943891120243713,50
71,0.06655633802816908,0.059668799760124146,50
72,0.06668333333333308,0.05989380798606612,50
73,0.06680684931506832,0.06011405942814658,50
74,0.06692702702702703,0.06032967602791399,50
75,0.06704399999999992,0.060540777824469684,50
76,0.06715789473684225,0.06074748271886903,50
77,0.06726883116883045,0.06094990628968084,50
78,0.06737692307692314,0.061148161651752464,50
79,0.06748734177215183,0.061349442138710776,50
80,0.06759500000000003,0.0615467279340475,50
81,0.06770000000000011,0.06174011958444724,50
82,0.06780243902438983,0.06192971553313519,50
83,0.06790240963855368,0.06211561204590505,50
84,0.0680000000000004,0.062297903159140064,50
85,0.06809529411764657,0.062476680646484074,50
86,0.06818837209302302,0.0626520340012052,50
87,0.06828620689655139,0.06282158397173139,50
88,0.06838181818181795,0.06298802784026378,50
89,0.06847528089887575,0.0631514397530733,50
90,0.06858000000000032,0.06330759030458986,50
91,0.06868241758241808,0.06346130641910316,50
92,0.0687999999999998,0.06361487590374203,50
93,0.06891505376343943,0.06376614099262339,50
94,0.06902978723404146,0.06391330344649017,50
95,0.06914210526315728,0.06405827528230963,50
96,0.06925208333333259,0.06420109099704706,50
97,0.06935979381443332,0.06434178530528548,50
98,0.06946530612244914,0.06448039303231673,50
99,0.0695686868686866,0.0646169490201821,50
100,0.06966999999999984,0.0647514880453077,50
101,0.06984059405940542,0.06487275073622144,50
102,0.07001568627450978,0.06499751286406692,50
103,0.0701873786407765,0.06512131925977316,50
104,0.0703557692307696,0.06524414755479732,50
105,0.07054761904761975,0.06536597119448675,50
106,0.07073584905660311,0.06548696555860858,50
107,0.07092242990654199,0.06560548086996754,50
